"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"639",75901,1229386,1273355,1329692,1418329,1420148,1456688,NA,NA,NA
"640",244706,321977,661332,812938,881376,1155008,1332168,NA,NA,NA
"641",491820,537964,763030,968359,NA,NA,NA,NA,NA,NA
"642",350354,731384,1379247,1417300,NA,NA,NA,NA,NA,NA
"643",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644",569684,652854,696755,NA,NA,NA,NA,NA,NA,NA
"645",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646",47448,907089,1043910,1230081,1398439,1442267,NA,NA,NA,NA
"647",573709,1346922,NA,NA,NA,NA,NA,NA,NA,NA
"648",474504,862996,867220,NA,NA,NA,NA,NA,NA,NA
"649",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650",15055,665425,1136791,NA,NA,NA,NA,NA,NA,NA
"651",3357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653",1021985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654",728585,938560,NA,NA,NA,NA,NA,NA,NA,NA
"655",323541,413141,836754,NA,NA,NA,NA,NA,NA,NA
"656",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658",657473,1265113,NA,NA,NA,NA,NA,NA,NA,NA
"659",286711,824812,NA,NA,NA,NA,NA,NA,NA,NA
"660",1291074,1345988,NA,NA,NA,NA,NA,NA,NA,NA
"661",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662",162704,591458,862388,NA,NA,NA,NA,NA,NA,NA
"663",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665",766100,1030920,1057120,1352939,NA,NA,NA,NA,NA,NA
"666",93777,366312,680989,696461,1284076,1382059,1385077,1439463,NA,NA
"667",145305,570328,NA,NA,NA,NA,NA,NA,NA,NA
"668",131220,335783,674354,NA,NA,NA,NA,NA,NA,NA
"669",551967,1398852,NA,NA,NA,NA,NA,NA,NA,NA
